"Url","Status","TitleLen","DescLen","Robots","H1","Canonical","Issues"
"https://dropolis.net/news/entoni-antiparathesi-rama-cnn-se-diethnes-foroym-elate-stin-alvania-na-11855/","200","60","155","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","1","https://dropolis.net/news/entoni-antiparathesi-rama-cnn-se-diethnes-foroym-elate-stin-alvania-na-11855/",""
"https://dropolis.net/news/mitsotakis-proserchomenos-sti-synodo-koryfis-chreos-mas-na-exasfaliste-11826/","200","60","155","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","1","https://dropolis.net/news/mitsotakis-proserchomenos-sti-synodo-koryfis-chreos-mas-na-exasfaliste-11826/",""
"https://dropolis.net/news/i-tefra-toy-milan-koyntera-entafiastike-sti-geneteira-toy-to-mprno-11825/","200","60","155","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","1","https://dropolis.net/news/i-tefra-toy-milan-koyntera-entafiastike-sti-geneteira-toy-to-mprno-11825/",""
"https://dropolis.net/news/pakistan-akyronetai-i-teleti-ypografis-tis-symfonias-ipa-iran-11763/","200","60","155","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","1","https://dropolis.net/news/pakistan-akyronetai-i-teleti-ypografis-tis-symfonias-ipa-iran-11763/",""
"https://dropolis.net/news/i-stamatina-tsimtsili-krazei-ton-dimitri-oyggarezo-echei-mplechtei-fet-11646/","200","60","154","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","1","https://dropolis.net/news/i-stamatina-tsimtsili-krazei-ton-dimitri-oyggarezo-echei-mplechtei-fet-11646/",""
"https://dropolis.net/news/i-ereyna-gia-ti-diakinisi-narkotikon-stin-alvania-epikalyptei-tin-erey-11592/","200","60","154","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","1","https://dropolis.net/news/i-ereyna-gia-ti-diakinisi-narkotikon-stin-alvania-epikalyptei-tin-erey-11592/",""
"https://dropolis.net/news/tromos-stin-moscha-apo-oykranika-drones-ektoxeytike-kapaki-dexamenis-a-11582/","200","60","155","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","1","https://dropolis.net/news/tromos-stin-moscha-apo-oykranika-drones-ektoxeytike-kapaki-dexamenis-a-11582/",""
"https://dropolis.net/news/rosia-epithesi-ton-oykranikon-drones-se-diylistirio-sti-moscha-vinteo-11573/","200","60","155","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","1","https://dropolis.net/news/rosia-epithesi-ton-oykranikon-drones-se-diylistirio-sti-moscha-vinteo-11573/",""
"https://dropolis.net/news/anogeio-prevezas-anegersi-toy-mnimeioy-pesonton-yper-patridos-11572/","200","60","155","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","1","https://dropolis.net/news/anogeio-prevezas-anegersi-toy-mnimeioy-pesonton-yper-patridos-11572/",""
"https://dropolis.net/news/nekri-83chroni-germanida-sto-spiti-tis-sti-chalkidiki-11571/","200","60","124","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","1","https://dropolis.net/news/nekri-83chroni-germanida-sto-spiti-tis-sti-chalkidiki-11571/",""
"https://dropolis.net/news/o-alvanos-prothypoyrgos-katigorei-to-iran-gia-diadiloseis-enantia-sto--11527/","200","60","155","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","1","https://dropolis.net/news/o-alvanos-prothypoyrgos-katigorei-to-iran-gia-diadiloseis-enantia-sto--11527/",""
"https://dropolis.net/news/tromos-stin-moscha-apo-oykranika-drones-ektoxeytike-kapaki-dexamenis-a-11516/","200","60","155","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","1","https://dropolis.net/news/tromos-stin-moscha-apo-oykranika-drones-ektoxeytike-kapaki-dexamenis-a-11516/",""
"https://dropolis.net/news/kivotos-toy-kosmoy-parapempontai-se-diki-gia-xeplyma-mayroy-chrimatos--11467/","200","60","130","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","1","https://dropolis.net/news/kivotos-toy-kosmoy-parapempontai-se-diki-gia-xeplyma-mayroy-chrimatos--11467/",""
